time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
1.640000, 0.430355, 0.163206, 0.000108, 1.654941, 0.415883, -0.003000, 0.000019, -0.955147, -182.386749, 78.727119, -182.386749, 78.727119, 1.027908
1.673000, 0.414301, 0.152005, 0.000441, 1.658840, 0.395198, -0.002684, 0.000028, -0.946587, -182.345566, 78.688789, -182.345566, 78.688789, 1.027907
1.706000, 0.397595, 0.140913, 0.000705, 1.662830, 0.374019, -0.002362, 0.000042, -0.938469, -182.304428, 78.650368, -182.304428, 78.650368, 1.027907
1.739000, 0.380202, 0.129662, 0.000923, 1.666883, 0.352274, -0.002033, 0.000061, -0.930803, -182.263397, 78.611801, -182.263397, 78.611801, 1.027908
1.772000, 0.360024, 0.120914, 0.001053, 1.670860, 0.329920, -0.001691, 0.000082, -0.923602, -182.222473, 78.573067, -182.222473, 78.573067, 1.027908
1.805000, 0.338642, 0.112276, 0.001111, 1.674718, 0.306911, -0.001335, 0.000103, -0.916877, -182.181671, 78.534142, -182.181671, 78.534142, 1.027910
1.838000, 0.318929, 0.099696, 0.001165, 1.678580, 0.283183, -0.000963, 0.000126, -0.910646, -182.141068, 78.494987, -182.141068, 78.494987, 1.027911
1.871000, 0.298531, 0.086394, 0.001200, 1.682435, 0.258669, -0.000570, 0.000150, -0.904924, -182.100662, 78.455559, -182.100662, 78.455559, 1.027912
1.904000, 0.277020, 0.072487, 0.001229, 1.686262, 0.233287, -0.000156, 0.000174, -0.899733, -182.060516, 78.415825, -182.060516, 78.415825, 1.027914
1.937000, 0.254075, 0.058392, 0.001228, 1.690022, 0.206992, 0.000284, 0.000198, -0.895092, -182.020660, 78.375748, -182.020660, 78.375748, 1.027915
1.970000, 0.229392, 0.044115, 0.001203, 1.693671, 0.179726, 0.000753, 0.000221, -0.891026, -181.981125, 78.335281, -181.981125, 78.335281, 1.027916
2.003000, 0.202700, 0.029718, 0.001140, 1.697158, 0.151440, 0.001253, 0.000243, -0.887563, -181.941956, 78.294373, -181.941956, 78.294373, 1.027917
2.036000, 0.173920, 0.015138, 0.001033, 1.700434, 0.122102, 0.001787, 0.000263, -0.884732, -181.903259, 78.252991, -181.903259, 78.252991, 1.027917
2.069000, 0.145594, -0.002765, 0.000933, 1.703583, 0.091735, 0.002358, 0.000280, -0.882562, -181.865021, 78.211082, -181.865021, 78.211082, 1.027917
2.102000, 0.115617, -0.021767, 0.000837, 1.706594, 0.060268, 0.002968, 0.000296, -0.881088, -181.827347, 78.168594, -181.827347, 78.168594, 1.027917
2.135000, 0.079944, -0.036992, 0.000665, 1.709241, 0.027760, 0.003621, 0.000309, -0.880344, -181.790283, 78.125473, -181.790283, 78.125473, 1.027916
2.168000, 0.040876, -0.051489, 0.000406, 1.711432, -0.005701, 0.004318, 0.000316, -0.880369, -181.753937, 78.081680, -181.753937, 78.081680, 1.027914
2.201000, -0.000160, -0.065277, 0.000096, 1.713107, -0.039965, 0.005048, 0.000318, -0.881180, -181.718399, 78.037178, -181.718399, 78.037178, 1.027912
2.234000, -0.045660, -0.073860, -0.000249, 1.714040, -0.074879, 0.005796, 0.000313, -0.882779, -181.683670, 77.991974, -181.683670, 77.991974, 1.027908
2.267000, -0.136324, -0.024417, -0.001129, 1.711788, -0.110227, 0.006545, 0.000291, -0.885132, -181.649826, 77.946075, -181.649826, 77.946075, 1.027902
2.300000, -0.240527, 0.042947, -0.002396, 1.705611, -0.145593, 0.007268, 0.000245, -0.888239, -181.616913, 77.899574, -181.616913, 77.899574, 1.027893
2.333000, -0.226183, -0.033073, -0.003193, 1.701724, -0.180651, 0.007973, 0.000183, -0.892085, -181.585037, 77.852478, -181.585037, 77.852478, 1.027881
2.366000, -0.211874, -0.111763, -0.002732, 1.700208, -0.216242, 0.008669, 0.000130, -0.896694, -181.554169, 77.804695, -181.554169, 77.804695, 1.027870
2.399000, -0.212414, -0.173854, -0.001842, 1.700341, -0.252099, 0.009360, 0.000094, -0.902075, -181.524353, 77.756142, -181.524353, 77.756142, 1.027862
2.432000, -0.224551, -0.222414, -0.000988, 1.701549, -0.287716, 0.010044, 0.000075, -0.908228, -181.495575, 77.706764, -181.495575, 77.706764, 1.027856
2.465000, -0.241596, -0.265475, -0.000276, 1.703613, -0.322706, 0.010717, 0.000069, -0.915150, -181.467880, 77.656548, -181.467880, 77.656548, 1.027853
2.498000, -0.263100, -0.302701, 0.000237, 1.706314, -0.356664, 0.011374, 0.000074, -0.922829, -181.441284, 77.605476, -181.441284, 77.605476, 1.027851
